application_id,customer_id,branch_id,product_id,application_date,loan_amount_requested,loan_amount_approved,tenure_months,interest_rate,emi_amount,application_status,rejection_reason,risk_category,disbursal_date,loan_status
82,2319,40,5,2026-06-13,738000.0,656000.0,15,8.72,46318.64,Approved,,High,2026-06-25,Active
83,1786,14,4,2024-07-25,1202000.0,961000.0,144,10.41,11713.47,Approved,,Low,2024-08-03,Active
84,3528,10,5,2025-02-27,162000.0,148000.0,33,10.08,5153.82,Approved,,High,2025-03-08,Active
85,2807,41,3,2025-07-15,751000.0,637000.0,33,11.74,22679.86,Approved,,Medium,2025-07-23,Active
86,2159,6,6,2024-06-08,4226000.0,,48,,,Pending,,,,NA
87,4362,27,2,2025-08-18,705000.0,701000.0,48,13.7,19050.53,Approved,,Medium,2025-08-24,Closed
88,979,27,6,2024-04-29,154000.0,135000.0,13,13.18,11200.46,Approved,,High,2024-05-02,Defaulted
89,1940,15,2,2026-01-31,351000.0,290000.0,59,17.43,7352.1,Approved,,Medium,2026-02-20,Defaulted
90,4523,47,5,2023-11-24,521000.0,,12,,,Rejected,Existing Default History,,,NA
91,4124,8,2,2024-07-05,568000.0,466000.0,35,14.13,16322.92,Approved,,Low,2024-07-09,Closed
92,3426,42,2,2023-12-24,944000.0,825000.0,13,17.39,70084.32,Approved,,Low,2024-01-07,Closed
93,5810,36,1,2025-08-03,2956000.0,2772000.0,67,10.11,54312.47,Approved,,High,2025-08-19,Active
94,1914,15,3,2023-08-28,990000.0,865000.0,50,9.59,21054.1,Approved,,Medium,2023-09-07,Active
95,1745,32,4,2026-01-22,1967000.0,1854000.0,172,11.68,22250.89,Approved,,Low,2026-01-29,Active
96,3413,47,3,2024-10-11,987000.0,825000.0,54,12.45,20032.1,Approved,,Medium,2024-10-28,Active
97,281,6,6,2023-11-11,1039000.0,803000.0,106,13.91,13198.19,Approved,,Medium,2023-11-30,Active
98,1668,12,2,2025-01-02,695000.0,,27,,,Rejected,Insufficient Income,,,NA
99,1271,20,3,2026-01-29,352000.0,318000.0,63,10.66,6612.95,Approved,,Low,2026-02-11,Active
100,4567,26,4,2025-03-10,751000.0,,125,,,Rejected,Unverifiable Employment,,,NA
101,5916,48,4,2025-08-20,1561000.0,1324000.0,146,10.82,16346.26,Approved,,Medium,2025-08-31,Defaulted
102,3117,12,5,2024-11-23,274000.0,223000.0,33,8.92,7645.2,Approved,,Low,2024-11-29,Active
103,5437,27,3,2025-07-06,423000.0,404000.0,57,10.67,9065.71,Approved,,Low,2025-07-25,Active
104,837,2,3,2025-07-23,551000.0,453000.0,51,10.38,11022.91,Approved,,High,2025-08-13,Defaulted
105,4993,21,3,2026-03-04,554000.0,454000.0,63,10.39,9379.99,Approved,,High,2026-03-10,Closed
106,2092,5,6,2024-06-26,487000.0,387000.0,66,15.47,8743.26,Approved,,Low,2024-07-06,Closed
107,4315,10,3,2023-08-02,1279000.0,,63,,,Rejected,Insufficient Income,,,NA
108,3829,41,6,2024-10-07,464000.0,430000.0,64,14.86,9768.64,Approved,,Low,2024-10-11,Active
109,608,43,5,2024-10-16,671000.0,604000.0,9,8.25,69439.13,Approved,,Low,2024-11-05,Active
110,603,52,3,2025-05-18,1158000.0,1104000.0,63,10.71,22985.75,Approved,,Low,2025-05-21,Closed
111,1335,10,5,2025-05-19,69000.0,66000.0,24,8.18,2990.42,Approved,,Low,2025-05-25,Written-Off
112,960,25,5,2026-03-23,713000.0,587000.0,8,8.74,75800.23,Approved,,Medium,2026-04-12,Active
113,4870,55,4,2024-02-14,1062000.0,1039000.0,67,11.43,21049.77,Approved,,High,2024-03-06,Defaulted
114,649,32,1,2025-11-19,1142000.0,1063000.0,265,8.48,8886.93,Approved,,Low,2025-11-25,Active
115,5618,7,1,2024-09-11,2407000.0,,173,,,Rejected,Existing Default History,,,NA
116,3581,14,6,2026-03-11,716000.0,615000.0,68,14.63,13357.21,Approved,,Low,2026-03-14,Active
117,3945,54,4,2023-12-14,1677000.0,,138,,,Pending,,,,NA
118,3737,50,2,2024-01-31,916000.0,859000.0,25,17.61,41296.17,Approved,,Medium,2024-02-14,Active
119,2862,42,1,2025-01-13,2354000.0,1815000.0,111,10.42,25543.85,Approved,,Low,2025-01-20,Active
120,988,24,5,2024-09-03,196000.0,194000.0,24,7.65,8743.16,Approved,,Medium,2024-09-14,Active
121,5203,18,1,2025-05-08,698000.0,642000.0,169,10.36,7235.03,Approved,,Medium,2025-05-22,Active
122,623,25,6,2023-10-26,1655000.0,1347000.0,31,11.04,50140.17,Approved,,Low,2023-10-31,Closed
123,3634,27,2,2023-12-12,1350000.0,,23,,,Pending,,,,NA
124,2170,43,4,2023-07-09,2015000.0,1528000.0,154,9.69,17373.47,Approved,,Low,2023-07-24,Active
125,266,4,5,2024-08-15,673000.0,558000.0,36,9.86,17968.44,Approved,,Low,2024-08-21,Active
126,3553,1,6,2026-04-08,918000.0,707000.0,94,11.67,11509.77,Approved,,Medium,2026-04-18,Closed
127,1131,42,4,2024-03-23,1614000.0,,137,,,Pending,,,,NA
128,202,49,3,2025-01-02,535000.0,479000.0,35,11.56,16187.5,Approved,,Medium,2025-01-23,Closed
129,5621,32,6,2023-07-29,399000.0,,66,,,Rejected,High Debt-to-Income Ratio,,,NA
130,5755,30,1,2025-11-15,1024000.0,,205,,,Rejected,Insufficient Income,,,NA
131,5158,18,5,2025-01-15,500000.0,438000.0,23,9.62,20929.07,Approved,,Medium,2025-01-21,Closed
132,4343,11,1,2025-04-16,3087000.0,2756000.0,258,9.25,24642.75,Approved,,Medium,2025-04-28,Active
133,5629,14,5,2025-06-12,308000.0,289000.0,8,10.45,37554.97,Approved,,High,2025-06-15,Closed
134,3360,45,1,2023-08-13,1319000.0,,200,,,Rejected,Unverifiable Employment,,,NA
135,3005,21,1,2025-12-27,2756000.0,2582000.0,66,10.1,51148.25,Approved,,Medium,2026-01-16,Closed
136,1435,37,3,2025-02-07,1130000.0,,75,,,Pending,,,,NA
137,2623,7,2,2023-10-10,422000.0,,47,,,Rejected,Insufficient Income,,,NA
138,3075,47,5,2025-12-12,369000.0,329000.0,16,8.73,21857.07,Approved,,High,2025-12-15,Closed
139,2063,4,6,2024-09-30,2810000.0,2746000.0,106,13.76,44894.21,Approved,,Low,2024-10-07,Closed
140,2968,29,2,2024-06-15,712000.0,640000.0,33,12.15,22911.15,Approved,,High,2024-07-05,Defaulted
141,5329,42,6,2023-11-24,820000.0,668000.0,95,14.35,11803.87,Approved,,Low,2023-12-06,Active
142,3084,5,4,2026-03-25,1623000.0,1363000.0,62,11.79,29459.79,Approved,,High,2026-04-11,Defaulted
143,4239,6,2,2025-06-01,310000.0,,24,,,Rejected,Unverifiable Employment,,,NA
144,1022,48,1,2024-04-05,1831000.0,1552000.0,292,8.58,12680.37,Approved,,Medium,2024-04-19,Active
145,5734,16,3,2025-03-09,415000.0,366000.0,48,11.13,9482.58,Approved,,Low,2025-03-21,Closed
146,3207,33,6,2026-03-24,475000.0,464000.0,78,11.74,8532.05,Approved,,Medium,2026-04-08,Active
147,2753,6,3,2025-01-07,1268000.0,1191000.0,61,10.23,25120.52,Approved,,High,2025-01-27,Active
148,2503,10,2,2025-08-29,61000.0,54000.0,24,12.53,2555.35,Approved,,Medium,2025-09-18,Closed
149,2670,5,1,2024-08-19,881000.0,671000.0,271,9.23,5900.92,Approved,,Medium,2024-09-06,Closed
150,1633,13,3,2024-06-26,1286000.0,985000.0,49,10.15,24638.4,Approved,,Medium,2024-07-03,Active
151,3998,54,1,2024-04-24,1082000.0,885000.0,135,10.42,11157.38,Approved,,Low,2024-05-07,Closed
152,199,29,1,2025-04-05,5172000.0,4294000.0,77,10.16,76133.05,Approved,,High,2025-04-17,Closed
153,244,6,5,2025-10-02,709000.0,596000.0,20,10.47,32605.12,Approved,,Low,2025-10-09,Active
154,1636,13,6,2026-06-06,574000.0,,105,,,Pending,,,,NA
155,180,44,3,2023-12-04,697000.0,543000.0,23,9.81,25993.81,Approved,,Medium,2023-12-07,Active
156,5780,38,1,2024-10-21,3117000.0,2454000.0,177,8.71,24670.76,Approved,,Medium,2024-10-27,Active
157,5388,34,5,2026-04-21,114000.0,,10,,,Pending,,,,NA
158,4371,50,3,2023-07-10,994000.0,,45,,,Pending,,,,NA
159,18,24,3,2025-07-29,571000.0,,25,,,Rejected,Insufficient Income,,,NA
160,1360,47,4,2024-11-05,2290000.0,,142,,,Rejected,Insufficient Income,,,NA
161,3462,5,6,2026-04-05,1152000.0,,115,,,Pending,,,,NA
162,4702,4,1,2025-08-06,3034000.0,2477000.0,308,10.3,22908.17,Approved,,High,2025-08-23,Defaulted
163,4784,11,4,2024-01-26,1308000.0,1206000.0,157,9.91,13736.01,Approved,,Medium,2024-02-01,Defaulted
164,2431,19,5,2023-10-28,370000.0,286000.0,22,9.22,14179.42,Approved,,Medium,2023-11-16,Active
165,751,53,4,2025-11-11,451000.0,,61,,,Withdrawn,,,,NA
166,3652,8,2,2026-04-11,1216000.0,1174000.0,48,11.72,30754.77,Approved,,Medium,2026-04-28,Active
167,3614,39,4,2024-01-07,1618000.0,1301000.0,163,10.0,14622.05,Approved,,Low,2024-01-24,Defaulted
168,2061,1,5,2024-07-22,632000.0,494000.0,33,8.25,16783.16,Approved,,High,2024-08-10,Closed
169,3108,34,1,2024-10-18,5014000.0,,160,,,Rejected,Incomplete Documentation,,,NA
170,2208,34,4,2025-01-24,2095000.0,1726000.0,79,9.56,29523.9,Approved,,Medium,2025-02-02,Active
171,1939,54,4,2024-05-01,355000.0,,119,,,Withdrawn,,,,NA
172,2967,25,4,2024-12-08,1763000.0,1333000.0,156,9.14,14632.76,Approved,,Low,2024-12-21,Active
173,5704,10,5,2024-03-05,466000.0,462000.0,22,8.06,22660.07,Approved,,High,2024-03-22,Active
174,5562,26,4,2025-01-12,1201000.0,914000.0,177,9.39,9557.36,Approved,,Low,2025-01-30,Active
175,2778,33,2,2023-08-21,1075000.0,1001000.0,44,11.47,27975.26,Approved,,High,2023-09-03,Active
176,2859,51,3,2024-01-28,1121000.0,950000.0,39,10.13,28690.14,Approved,,Low,2024-02-11,Closed
177,2417,48,1,2026-01-13,2882000.0,2635000.0,262,8.47,22098.58,Approved,,High,2026-01-18,Active
178,5545,50,4,2024-01-20,2396000.0,2288000.0,88,9.05,35669.47,Approved,,Medium,2024-01-31,Defaulted
179,3132,24,6,2024-11-18,315000.0,,87,,,Rejected,Existing Default History,,,NA
180,5238,35,4,2025-01-14,1078000.0,933000.0,99,9.81,13783.21,Approved,,Low,2025-01-19,Active
181,4430,53,2,2025-09-22,938000.0,732000.0,42,16.88,23199.82,Approved,,Low,2025-10-02,Closed
182,256,23,3,2025-01-14,1243000.0,1067000.0,69,11.08,20978.23,Approved,,Low,2025-01-17,Closed
183,5151,6,5,2023-12-09,610000.0,492000.0,31,8.56,17746.7,Approved,,Medium,2023-12-23,Closed
184,5099,12,4,2024-03-03,1448000.0,,105,,,Rejected,Unverifiable Employment,,,NA
185,1166,47,2,2025-09-19,649000.0,,16,,,Rejected,Existing Default History,,,NA
186,4699,34,2,2025-06-11,785000.0,599000.0,42,15.83,18667.3,Approved,,Medium,2025-06-18,Active
187,2976,52,5,2025-02-08,480000.0,391000.0,10,9.1,40749.27,Approved,,High,2025-02-18,Closed
188,631,1,2,2025-02-07,762000.0,580000.0,30,17.4,23979.9,Approved,,Low,2025-02-15,Active
189,1150,32,1,2026-03-22,1549000.0,1178000.0,224,10.25,11820.94,Approved,,Low,2026-04-08,Active
190,3931,51,1,2024-07-22,751000.0,,219,,,Rejected,Unverifiable Employment,,,NA
191,3938,45,5,2025-09-29,708000.0,601000.0,22,9.12,29769.03,Approved,,Medium,2025-10-17,Active
192,4150,9,4,2023-12-05,1256000.0,1071000.0,88,11.99,18352.12,Approved,,High,2023-12-20,Active
193,5350,39,3,2026-03-27,1107000.0,1029000.0,69,9.4,19361.54,Approved,,High,2026-04-03,Active
194,1633,40,3,2024-06-19,1460000.0,1307000.0,80,12.23,23971.62,Approved,,Medium,2024-07-08,Active
195,1220,52,3,2025-08-05,1450000.0,,33,,,Rejected,Insufficient Income,,,NA
196,2197,39,1,2025-07-02,1634000.0,1515000.0,128,8.85,18329.17,Approved,,Medium,2025-07-05,Defaulted
197,3245,36,1,2025-06-18,2278000.0,,244,,,Rejected,Incomplete Documentation,,,NA
198,612,55,5,2024-11-27,477000.0,,27,,,Rejected,Incomplete Documentation,,,NA
199,5240,33,5,2023-08-01,351000.0,341000.0,36,9.4,10907.3,Approved,,High,2023-08-07,Active
200,863,14,2,2026-03-17,416000.0,347000.0,28,16.59,15030.28,Approved,,Low,2026-04-06,Active
201,342,6,4,2025-04-07,2423000.0,2338000.0,144,10.3,28347.62,Approved,,Low,2025-04-18,Active
202,5364,6,6,2024-10-18,321000.0,,61,,,Rejected,Incomplete Documentation,,,NA
203,4637,24,1,2026-01-08,4186000.0,3880000.0,105,9.04,53605.96,Approved,,Low,2026-01-18,Closed
204,5535,54,5,2025-03-25,239000.0,184000.0,36,8.94,5846.01,Approved,,Low,2025-04-08,Closed
205,3061,9,1,2025-08-26,1945000.0,,342,,,Rejected,Unverifiable Employment,,,NA
206,4336,18,4,2025-07-23,1056000.0,811000.0,179,9.74,8607.77,Approved,,Medium,2025-08-01,Defaulted
207,2935,11,3,2025-07-09,550000.0,507000.0,64,10.04,10263.53,Approved,,Low,2025-07-27,Active
208,5547,23,6,2023-10-06,774000.0,651000.0,75,12.15,12430.67,Approved,,Medium,2023-10-22,Active
209,5580,27,4,2024-08-18,2117000.0,1724000.0,99,10.79,26373.21,Approved,,High,2024-08-28,Defaulted
210,3888,55,5,2023-10-28,797000.0,,6,,,Withdrawn,,,,NA
211,1574,18,2,2024-12-23,996000.0,943000.0,31,16.91,37756.27,Approved,,Medium,2024-12-26,Closed
212,2885,13,4,2023-08-22,1327000.0,1283000.0,111,9.1,17139.1,Approved,,Low,2023-09-01,Active
213,1631,26,1,2025-12-05,833000.0,,329,,,Withdrawn,,,,NA
214,2364,35,6,2024-07-03,819000.0,,35,,,Rejected,Incomplete Documentation,,,NA
215,2355,12,1,2024-08-11,4443000.0,,315,,,Rejected,Low Credit Score,,,NA
216,3184,15,2,2024-10-17,429000.0,331000.0,49,16.98,9411.23,Approved,,Medium,2024-11-01,Active
217,1479,44,6,2024-04-05,2934000.0,,111,,,Rejected,Insufficient Income,,,NA
218,136,1,4,2026-05-18,2099000.0,,150,,,Rejected,Insufficient Income,,,NA
219,3145,5,1,2024-06-20,2124000.0,,352,,,Withdrawn,,,,NA
220,12,10,6,2024-11-08,520000.0,476000.0,73,11.15,9009.18,Approved,,Medium,2024-11-29,Active
221,5353,48,4,2024-11-01,1733000.0,,109,,,Rejected,Low Credit Score,,,NA
222,4463,35,2,2024-09-18,897000.0,852000.0,37,16.21,29410.97,Approved,,Medium,2024-10-04,Active
223,2403,39,5,2024-03-10,556000.0,528000.0,7,9.49,77833.42,Approved,,Medium,2024-03-18,Defaulted
224,2355,19,5,2024-05-04,733000.0,,25,,,Withdrawn,,,,NA
225,465,41,4,2025-03-10,438000.0,368000.0,168,11.75,4473.76,Approved,,Low,2025-03-19,Active
226,3645,23,1,2025-08-15,5995000.0,4670000.0,299,9.1,39545.45,Approved,,Low,2025-08-21,Closed
227,4489,36,1,2026-01-17,2072000.0,1973000.0,315,9.93,17642.32,Approved,,High,2026-01-20,Defaulted
228,3824,40,3,2025-04-13,1003000.0,880000.0,77,11.35,16142.63,Approved,,High,2025-05-03,Active
229,2012,20,5,2024-11-29,97000.0,,35,,,Rejected,Insufficient Income,,,NA
230,5721,21,6,2023-10-20,2597000.0,2173000.0,72,13.08,43712.83,Approved,,Medium,2023-11-10,Active
231,898,52,3,2024-10-21,555000.0,,36,,,Withdrawn,,,,NA
232,5687,15,2,2026-02-16,646000.0,,29,,,Pending,,,,NA
233,3145,48,4,2024-07-29,317000.0,277000.0,108,11.52,4131.41,Approved,,High,2024-08-12,Closed
234,3677,7,3,2023-12-30,1270000.0,,45,,,Rejected,Existing Default History,,,NA
235,727,33,2,2024-03-16,694000.0,628000.0,59,16.64,15655.07,Approved,,Medium,2024-04-02,Closed
236,5714,5,2,2024-12-02,556000.0,,52,,,Rejected,High Debt-to-Income Ratio,,,NA
237,3837,36,4,2023-10-21,833000.0,,116,,,Pending,,,,NA
238,290,16,5,2026-02-14,698000.0,635000.0,26,8.39,26795.2,Approved,,Medium,2026-02-24,Active
239,1294,23,2,2025-10-01,296000.0,276000.0,53,15.59,7237.0,Approved,,Medium,2025-10-16,Active
240,3081,40,6,2026-03-10,570000.0,553000.0,91,12.3,9374.32,Approved,,Medium,2026-03-24,Active
241,2092,36,2,2023-12-24,1307000.0,,14,,,Rejected,Incomplete Documentation,,,NA
242,5942,45,6,2024-03-19,854000.0,687000.0,59,15.01,16533.9,Approved,,Medium,2024-04-03,Closed
243,4647,3,3,2025-09-08,524000.0,472000.0,27,9.92,19576.79,Approved,,Low,2025-09-12,Closed
244,2170,47,2,2025-11-10,451000.0,390000.0,13,10.92,31945.61,Approved,,Medium,2025-11-21,Active
245,4845,10,4,2024-10-30,203000.0,161000.0,172,11.97,1961.79,Approved,,Low,2024-11-02,Active
246,1660,35,2,2025-12-11,117000.0,,59,,,Pending,,,,NA
247,4400,31,6,2024-02-04,345000.0,305000.0,78,14.47,6055.13,Approved,,Medium,2024-02-13,Defaulted
248,3918,39,4,2024-08-31,2326000.0,1993000.0,119,11.07,27659.55,Approved,,High,2024-09-15,Defaulted
249,1940,16,1,2025-04-25,1885000.0,1818000.0,186,8.69,17822.26,Approved,,Medium,2025-05-16,Closed
250,2691,49,3,2026-04-20,617000.0,583000.0,54,11.42,13857.15,Approved,,Medium,2026-05-02,Closed
251,3592,34,6,2025-07-09,290000.0,263000.0,23,13.4,13029.37,Approved,,Low,2025-07-29,Active
252,2282,42,4,2023-08-22,2210000.0,1823000.0,101,10.55,27308.01,Approved,,Medium,2023-09-08,Active
253,3160,54,1,2026-04-22,941000.0,940000.0,163,10.21,10682.71,Approved,,Low,2026-04-27,Active
254,608,22,1,2026-01-28,3470000.0,3171000.0,224,8.97,29212.44,Approved,,Medium,2026-02-16,Closed
255,2968,52,6,2025-05-31,2329000.0,,14,,,Pending,,,,NA
256,1174,30,5,2024-06-06,733000.0,,27,,,Rejected,Unverifiable Employment,,,NA
257,5542,53,1,2024-09-18,3860000.0,3629000.0,269,8.46,30138.45,Approved,,Low,2024-10-07,Active
258,2319,3,5,2023-07-13,375000.0,289000.0,21,10.46,15119.59,Approved,,High,2023-07-19,Written-Off
259,4775,23,3,2026-04-30,1020000.0,,42,,,Pending,,,,NA
260,2481,54,5,2024-02-16,349000.0,,9,,,Rejected,Existing Default History,,,NA
261,1834,22,1,2023-09-11,1149000.0,935000.0,156,9.66,10545.86,Approved,,Medium,2023-09-23,Defaulted
262,4263,41,5,2023-10-13,127000.0,,29,,,Withdrawn,,,,NA
263,1095,43,6,2025-11-01,1032000.0,,43,,,Rejected,Existing Default History,,,NA
264,5166,7,1,2024-08-06,1162000.0,,231,,,Pending,,,,NA
265,373,14,1,2026-05-18,5847000.0,4482000.0,65,8.49,86259.29,Approved,,Medium,2026-06-02,Closed
266,2996,45,3,2025-08-04,736000.0,,15,,,Rejected,Insufficient Income,,,NA
267,4937,14,3,2025-07-05,349000.0,,16,,,Withdrawn,,,,NA
